customer_node,node_name,customer_number,customer_name_1,customer_name_2,country,city,region,postal_code,house_number_and_street,first_telephone_number,email_address,dso_type_2
0000044560,DR. NAWAR TOUCHAN,0041512373,DR. NAWAR TOUCHAN,PERIODONTAL ASSOC.  IN CENTRE TOWN,CA,OTTAWA,ON,K2P 1P9,401 - 225 METCALFE STREET,613-235-0500,"",Private Practice
0000042778,DENTAL CHOICE,0041503794,SOUTHLAND DENTAL CHOICE,DENTAL CHOICE,CA,CALGARY,AB,T2W 3M6,302-10601 SOUTHPORT RD SW,403-271-9100,info@southlanddentalchoice.ca,DSO/GPO
0000041469,NATIONAL DENTAL CARE,0041515678,Timberlea Dental Clinic,National Dental Care,CA,FORT MCMURRAY,AB,T9K 0M5,220-289 POWDER DRIVE,780-750-0072,timberleasc@gmail.com,DSO/GPO
0000039934,ENDO-PERIO GROUP,0041518236,NANAIMO DENTAL SPECIALIST,DR. TASSOS IRINAKIS,CA,NANAIMO,BC,V9S 5T4,STE 101-1621 DUFFERIN CRESCENT,250 591 9805,info@ndsg.ca,Private Practice
0000033405,DENTALCORP HEALTH SERVICES ULC,0041505777,CENTRE DENTAIRE BEACONFIELD,DENTALCORP HEALTH SERVICES LTD,CA,BEACONSFIELD,QC,H9W 2X3,3 - 50 BOUL ST. CHARLES,514-694-1514,"",DSO/GPO
0000038901,MCA DENTAL GROUP,0041516485,OLD NORTH FAMILY DENTISTRY,MCA DENTAL,CA,LONDON,ON,N6B 2R1,559 WATERLOO STREET,519-438-9921,"",DSO/GPO
0000043644,123 DENTIST LEGACY,0041517314,QUAYSIDE DENTAL CENTRE,"",CA,NORTH VANCOUVER,BC,V7M 3J9,165 - 171 WEST ESPLANADE  NORTH,604-987-6453,info@quaysidedentist.com,DSO/GPO
0000045551,Hammad Larson Dentistry,0041525549,Hammad Larsen Dentistry Professiona,Dr. Zeyad Hammad,CA,GODERICH,ON,N7A 4E9,5-397 Bayfield Road,"",info@suncoastdental.ca,DSO/GPO
0000043431,BLUE OCEAN DENTAL GROUP,0041507738,CAMPBELL RIVER DENTAL CENTRE,DR KEVIN LATHANGUE,CA,CAMPBELL RIVER,BC,V9W 2X8,150 DOGWOOD STREET,250-287-7343,invoice@blueoceandentalgroup.com,DSO/GPO
0000042649,SMILE FIRST CORPORATION,0041502783,CLINIQUE DENTAIRE TREMBLAY,SMILEFIRST,CA,PIERREFONDS,QC,H9H 3E4,4849 BOULEVARD ST. CHARLES,514-624-0390,"",DSO/GPO
0000045399,Smiles of Canada,0041525999,Grimsby Smiles Dentistry,"",CA,GRIMSBY,ON,L3M 1P8,264 Main Street,289 235 9117,grimsby@smilesofcanada.com,DSO/GPO
0000044256,FIVE POINT DENTAL SPECIALISTS,0041512962,CORONATION DENTAL SPECIALTY GROUP-S,"Drs. Diamond, Ciavarro, Furst, & Ch",CA,STRATFORD,ON,N5A 3H5,270 ONTARIO STREET,519-623-3810,finance@fivepointdentalspecialists.com,DSO/GPO
0000043643,DENTALCORP HEALTH SERVICES ULC,0041523327,CLINIQUE D’ORTHODONTIE FLORENCE MOR,DR. GASTON COUTSIERS MORELL,CA,SAINT-HUBERT,QC,J3Y 8Z4,201-6900 BOULEVARD COUSINEAU,450 500 0562,coutsiers.gaston@gmail.com,DSO/GPO
0000040351,"2663065 ONTARIO, INC.",0041524227,Viva Dental - Dentalook,"",CA,THUNDER BAY,ON,P7K 0N1,1090 Dawson Road,807-767-5471,diane@vivadentalthunderbay.ca,DSO/GPO
0000040293,MYBITE CALGARY - SOUTHPORT,0041507747,MYBITE CALGARY - NORTHLAND,ERIN DERRAUGH & WADE KLIMPKE,CA,CALGARY,AB,T3A 2L6,206 - 4600 CROWCHILD TRAIL NW,403-771-3368,payables@mybite.ca,Private Practice
0000044468,ORAMAX,0041502634,Dr. Barry Sternthal,Oramax  Att:  Kathy,CA,WESTMOUNT,QC,H3Z 1B8,610-4141 Sherbrooke Street West,514-932-5331,stella@oramax.ca,Private Practice
0000045347,123 DENTIST INC.,0041525920,JOHNSTONE PERIODONTICS,123 Dentist,CA,TORONTO,ON,M4T 1L9,300-21 ST. CLAIR AVE EAST,647 348 4867,info@johnstoneperio.com,DSO/GPO
0000043512,OAK DENTAL GROUP,0041519237,LONDON SQUARE DENTAL,OAK DENTAL GROUP,CA,CALGARY,AB,T1Y 6M6,230-3545 32 AVENUE NORTHEAST,403-291-4945,payable@oakdentalgroup.ca,DSO/GPO
0000043605,PASSION DENTAL GROUP,0041521213,Oak Bay Dental Clinic,Passion Dental Group,CA,VICTORIA,BC,V8R 1E5,2015 Oak Bay Ave,250-592-3013,adampite@hotmail.com,DSO/GPO
0000041275,Apple Dental,0041510127,APPLE DENTAL IMPLANT CENTRE- COQUIT,"",CA,COQUITLAM,BC,V3B 5R5,1134 - 2929 BARNET HWY,604-464-7333,uitlam@appleimplantcentre.com,DSO/GPO
0000045302,Peak Dental Group,0041518284,STONEY TRAIL DENTAL,DR. GURSHANT GREWAL,CA,CALGARY,AB,T2A 6Z8,20-185 EAST HILLS BOULEVARD SE,403-248-2948,"",DSO/GPO
0000042941,DENTAL WHALE - B CANADA,0041518752,WAVE DENTISTRY,DR. RON GAUDET,CA,WHITE ROCK,BC,V4A 6E7,200 - 1656 MARTIN DRIVE,604-538-9283,celeste@wavedentistry.com,DSO/GPO
0000043521,DENTISTES QUEBEC,0041523464,CLINIQUE DENTAIRE FAMILIAL ST. AMAB,GABRIEL NGUYEN DDS,CA,SAINT-AMABLE,QC,J0L 1N0,UNIT 1 -221 RUE DE CARDINAL,450-649-5050,comptabilite@dentistesquebec.com,DSO/GPO
0000039636,DMD GROUP,0041519586,"ASPEN DENTAL CLINIC,",DR. JAFFREY FALKS,CA,ROCKY MOUNTAIN HOUSE,AB,T4T 1A2,5216 - 50 AVENUE,403-845-3111,aspenrockydental@shawbiz.ca,DSO/GPO
0000038425,SHAW LABS LIMITED,0041502483,Shaw Brampton,"",CA,Brampton,ON,L6T 4Y7,2-222 Advance Blvd.,905-450-0033,info-brampton@shawlabgroup.com,Private Practice
0000043720,Les Cliniques Dentaires Transforme,0041525022,LES CLINIQUES DENTAIRES TRANSFORME,TRANSFORME ORTHODONTIE,CA,SAINT-HUBERT,QC,J3Y 8N1,112 - 7171 BOUL COUSINEAU,514 819 0995,dr.altalibi@smartortho.ca,DSO/GPO
0000045392,SMILE CENTRE,0041519455,SMILE CENTRE MARKHAM,"",CA,MARKHAM,ON,L3P 5J5,5 - 1 RAYMERVILLE DRIVE,647 951 3367,contact@markhamsmilecentre.com,DSO/GPO
0000040133,AMITY MANAGEMENT,0041520597,WEST FIVE FAMILY DENTAL,"",CA,LONDON,ON,N6K 0G2,1295 RIVERBEND ROAD,519-473-9378,sarah@amitymanagement.com,DSO/GPO
0000040197,DENTISTS AT NORTHGATE,0041518589,DEVON DENTAL ASSOCIATES,DR. RUSTIM APPOO,CA,DEVON,AB,T9G 0A6,129-180 MIQUELON AVENUE,780 987 2833,nancehogan@gmail.com,Private Practice
0000038894,CLAREO RESEAU DENTAIRE,0041502058,CLAREO GRANBY,"",CA,GRANBY,QC,J2G 4W7,"54, RUE DUFFERIN",450-375-2188,commandes@clareo.ca,DSO/GPO
0000043610,PURE ORTHODONTICS,0041521303,PURE ORTHODONTICS - SOUTH EDMONTON,"",CA,EDMONTON,AB,T6X 0P2,1048 91st Street SW,780-819-0900,clinic@pureorthodontics.ca,DSO/GPO
0000040977,Dental Whale Canada,0041506605,ST. ALBERT DENTAL CENTRE,DRS JANSEN AND MUELLER,CA,ST. ALBERT,AB,T8N 3K8,192-375 ST ALBERT TRAIL,780-459-9162,sadc@telusplanet.net,DSO/GPO
0000041377,HURON DENTAL GROUP,0041515011,SAINT CLAIR FAMILY DENTAL,"CHRIS HARPER, DDS",CA,CORUNNA,ON,N0N 1G0,383 LYNDOCK STREET,519 862 1477,DRCHRISTOPHER.HARPER@GMAIL.COM,DSO/GPO
0000037024,123 DENTIST INC.,0041520777,Gravelbourg Dental Clinic,123 Dentist,CA,GRAVELBOURG,SK,S0H 1X0,100 6th Ave E,306-648-4500,gravelbourgdental@sasktel.net,DSO/GPO
0000044560,DR. NAWAR TOUCHAN,0041519588,ORLEANS PERIO,DRS. TOUCHAN & MARTIN,CA,OTTAWA,ON,K1C 7K3,1190 PLACE D'ORLEANS DR.,613-424-8788,supply@periosandyhill.com,Private Practice
0000042778,DENTAL CHOICE,0041523925,UNIVERSITY CALGARY DENTAL CHOICE,DENTAL CHOICE,CA,CALGARY,AB,T2N 4V8,360- 402 COLLEGIATE BLVD NW,403-261-3477,"",DSO/GPO
0000041469,NATIONAL DENTAL CARE,0041525997,Coral Springs Dental,National Dental Care,CA,CALGARY,AB,T3J 4J0,31 Coral Springs Blvd NE,403 568 0456,coralsprings@nationaldental.ca,DSO/GPO
0000039934,ENDO-PERIO GROUP,0041511913,DR. MICHAEL N. ROCKWELL,"",CA,NANAIMO,BC,V9X 1H9,2C - 1834 CEDAR RD,250-722-9448,cbcd@shaw.ca,Private Practice
0000033405,DENTALCORP HEALTH SERVICES ULC,0041518225,SMILE DENTAL CENTER,DCC HEALTH SERVICES (QUEBEC) I,CA,London,ON,N6G 5B1,1350 FANSHAWE PARK ROAD WEST,519 471 9630,paymyinvoices@dentalcorp.ca,DSO/GPO
0000038901,MCA DENTAL GROUP,0041520799,Sante Dental (Highbury),MCA Dental,CA,London,ON,N5Y 5N7,1550 Highbury Ave N,519-455-5620,txcoord@santedental.ca,DSO/GPO
0000043644,123 DENTIST LEGACY,0041501762,NEW WEST DENTISTRY & IMPLANT CTR,DR DOUGLAS LOVELY  & ASSOCIATES,CA,NEW WESTMINSTER,BC,V3L 3C1,609 Sixth Street,604-524-4981,andrea.drlovely@gmail.com,DSO/GPO
